He,4 min,4 min 3e,5.5 min,5.5 min 3e,7.5 min,7.5 min 3e,11 min,11 min 3e,17 min,17 min 3e,22 min,22 min 3e
0,0.09,0.12,0.08,0.09,0.1,0.11,0.11,0.12,0.14,0.14,0.16,0.18
0.15,0.09,0.12,0.08,0.1,0.1,0.12,0.12,0.13,0.14,0.15,0.17,0.2
0.3,0.09,0.13,0.08,0.11,0.1,0.14,0.12,0.16,0.14,0.18,0.17,0.22
0.45,0.1,0.15,0.09,0.13,0.11,0.16,0.13,0.21,0.15,0.24,0.18,0.29
0.6,0.1,0.18,0.09,0.17,0.12,0.21,0.14,0.28,0.17,0.34,0.21,0.39
0.75,0.12,0.23,0.11,0.23,0.14,0.29,0.18,0.38,0.22,0.48,0.26,0.56
0.9,0.15,0.29,0.14,0.29,0.19,0.37,0.24,0.51,0.3,0.66,0.35,0.76
1.05,0.19,0.37,0.2,0.38,0.25,0.48,0.34,0.68,0.44,0.89,0.5,0.99
1.2,0.24,0.43,0.25,0.46,0.34,0.58,0.46,0.82,0.61,1.1,0.68,1.21
1.35,0.3,0.51,0.33,0.54,0.42,0.69,0.59,0.96,0.79,1.31,0.88,1.42
1.5,0.37,0.58,0.41,0.63,0.5,0.79,0.7,1.07,0.93,1.46,1.05,1.63
1.65,0.42,0.65,0.46,0.71,0.59,0.88,0.82,1.2,1.11,1.62,1.23,1.79
1.8,0.5,0.72,0.57,0.79,0.68,0.99,0.95,1.33,1.28,1.78,1.44,1.98
1.95,0.57,0.79,0.64,0.87,0.78,1.07,1.08,1.43,1.45,1.93,1.62,2.13
2.1,0.64,0.85,0.72,0.94,0.87,1.16,1.2,1.54,1.59,2.05,1.78,2.25
2.25,0.72,0.93,0.81,1.02,0.99,1.25,1.33,1.67,1.76,2.19,1.99,2.42
2.4,0.8,0.98,0.89,1.09,1.1,1.34,1.44,1.78,1.91,2.32,2.16,2.55
2.55,0.87,1.04,0.99,1.18,1.2,1.44,1.59,1.89,2.08,2.46,2.31,2.7
2.7,0.95,1.1,1.08,1.25,1.32,1.54,1.73,2,2.24,2.61,2.48,2.86
2.85,1.01,1.14,1.15,1.31,1.41,1.61,1.85,2.11,2.37,2.73,2.62,3
3,1.05,1.19,1.21,1.36,1.49,1.66,1.94,2.19,2.45,2.81,2.71,3.07